heading_font,body_font,tone,google_fonts_url,tailwind_config,use_case
"Lora","Karla",warm-editorial,"https://fonts.google.com/share?selection.family=Karla|Lora","fontFamily: { heading: ['Lora', 'serif'], body: ['Karla', 'sans-serif'] }",Blogs, nonprofits, and lifestyle brands
"Figtree","Figtree",clean-versatile,"https://fonts.google.com/share?selection.family=Figtree","fontFamily: { heading: ['Figtree', 'sans-serif'], body: ['Figtree', 'sans-serif'] }",Internal tools and admin systems (single font simplicity)
"Instrument Serif","Instrument Sans",refined-contrast,"https://fonts.google.com/share?selection.family=Instrument+Sans|Instrument+Serif","fontFamily: { heading: ['Instrument Serif', 'serif'], body: ['Instrument Sans', 'sans-serif'] }",Real estate and premium services
"Lexend","Lexend",readability-first,"https://fonts.google.com/share?selection.family=Lexend","fontFamily: { heading: ['Lexend', 'sans-serif'], body: ['Lexend', 'sans-serif'] }",Accessibility-focused apps and education (designed for reading ease)
"Unbounded","Noto Sans",playful-global,"https://fonts.google.com/share?selection.family=Noto+Sans|Unbounded","fontFamily: { heading: ['Unbounded', 'sans-serif'], body: ['Noto Sans', 'sans-serif'] }",Global apps with multilingual support
"Red Hat Display","Red Hat Text",enterprise-modern,"https://fonts.google.com/share?selection.family=Red+Hat+Display|Red+Hat+Text","fontFamily: { heading: ['Red Hat Display', 'sans-serif'], body: ['Red Hat Text', 'sans-serif'] }",Enterprise SaaS and B2B platforms
"Cormorant Garamond","Montserrat",luxury-modern,"https://fonts.google.com/share?selection.family=Cormorant+Garamond|Montserrat","fontFamily: { heading: ['Cormorant Garamond', 'serif'], body: ['Montserrat', 'sans-serif'] }",Fashion ecommerce and beauty brands
"Albert Sans","Albert Sans",neutral-swiss,"https://fonts.google.com/share?selection.family=Albert+Sans","fontFamily: { heading: ['Albert Sans', 'sans-serif'], body: ['Albert Sans', 'sans-serif'] }",Government portals and documentation
"Newsreader","Inter Tight",editorial-data,"https://fonts.google.com/share?selection.family=Inter+Tight|Newsreader","fontFamily: { heading: ['Newsreader', 'serif'], body: ['Inter Tight', 'sans-serif'] }",News platforms and analytics dashboards
"JetBrains Mono","JetBrains Mono",developer-mono,"https://fonts.google.com/share?selection.family=JetBrains+Mono","fontFamily: { mono: ['JetBrains Mono', 'monospace'] }",Code editors and developer documentation
"Recursive","Recursive",variable-adaptive,"https://fonts.google.com/share?selection.family=Recursive","fontFamily: { heading: ['Recursive', 'sans-serif'], body: ['Recursive', 'sans-serif'] }",Technical docs with code/prose mix (variable font with mono axis)
"Gabarito","Onest",warm-tech,"https://fonts.google.com/share?selection.family=Gabarito|Onest","fontFamily: { heading: ['Gabarito', 'sans-serif'], body: ['Onest', 'sans-serif'] }",Food delivery and local marketplace apps
"Outfit","Public Sans",gov-modern,"https://fonts.google.com/share?selection.family=Outfit|Public+Sans","fontFamily: { heading: ['Outfit', 'sans-serif'], body: ['Public Sans', 'sans-serif'] }",Modern government and civic tech
"Archivo","Archivo",strong-industrial,"https://fonts.google.com/share?selection.family=Archivo","fontFamily: { heading: ['Archivo', 'sans-serif'], body: ['Archivo', 'sans-serif'] }",Fitness apps and automotive
"Bitter","Urbanist",smart-contrast,"https://fonts.google.com/share?selection.family=Bitter|Urbanist","fontFamily: { heading: ['Bitter', 'serif'], body: ['Urbanist', 'sans-serif'] }",Travel and hospitality platforms
